No.,名称,经度(度),纬度(度),高程(米)
413,0,108.802587442,33.376241589,1182.060
414,0,108.969832607,33.376241589,885.092
415,0,109.137077773,33.376241589,988.758
416,0,109.304322938,33.376241589,1325.020
417,0,109.471568103,33.376241589,1251.304
418,0,109.638813268,33.376241589,1090.499
419,0,109.806058433,33.376241589,1048.884
420,0,109.973303599,33.376241589,1095.375
421,0,110.140548764,33.376241589,701.642
422,0,110.307793929,33.376241589,816.394
423,0,110.475039094,33.376241589,1096.204
424,0,110.642284259,33.376241589,705.265
425,0,110.809529425,33.376241589,809.374
426,0,110.976774590,33.376241589,471.499
427,0,111.144019755,33.376241589,419.663
428,0,111.311264920,33.376241589,426.286
429,0,111.478510085,33.376241589,498.751
430,0,111.645755251,33.376241589,357.515
431,0,111.813000416,33.376241589,254.791
432,0,111.980245581,33.376241589,306.351
433,0,112.147490746,33.376241589,524.505
434,0,112.314735911,33.376241589,509.584
435,0,112.481981077,33.376241589,192.334
436,0,112.649226242,33.376241589,160.667
437,0,112.816471407,33.376241589,171.942
438,0,112.983716572,33.376241589,156.577
439,0,113.150961737,33.376241589,168.725
440,0,113.318206903,33.376241589,132.768
441,0,113.485452068,33.376241589,178.805
442,0,113.652697233,33.376241589,319.399
443,0,113.819942398,33.376241589,87.890
444,0,113.987187563,33.376241589,66.139
445,0,114.154432729,33.376241589,57.498
446,0,114.321677894,33.376241589,53.860
447,0,114.488923059,33.376241589,48.599
448,0,114.656168224,33.376241589,42.851
449,0,114.823413389,33.376241589,41.737
450,0,114.990658555,33.376241589,40.855
451,0,115.157903720,33.376241589,40.053
452,0,115.325148885,33.376241589,38.532
453,0,115.492394050,33.376241589,36.836
454,0,115.659639215,33.376241589,34.575
455,0,115.826884381,33.376241589,31.335
456,0,115.994129546,33.376241589,29.158
457,0,116.161374711,33.376241589,28.374
458,0,116.328619876,33.376241589,28.292
459,0,116.495865041,33.376241589,27.310
460,0,116.663110207,33.376241589,25.215
461,0,116.830355372,33.376241589,24.735
462,0,116.997600537,33.376241589,24.150
463,0,117.164845702,33.376241589,22.744
464,0,117.332090867,33.376241589,19.004
465,0,117.499336033,33.376241589,17.904
466,0,117.666581198,33.376241589,17.445
467,0,117.833826363,33.376241589,16.569
468,0,118.001071528,33.376241589,17.655
469,0,106.962890625,33.208996424,566.104
470,0,107.130135790,33.208996424,526.047
471,0,107.297380955,33.208996424,660.168
472,0,107.464626121,33.208996424,659.777
473,0,107.631871286,33.208996424,728.403
474,0,107.799116451,33.208996424,553.752
475,0,107.966361616,33.208996424,520.137
476,0,108.133606781,33.208996424,624.652
477,0,108.300851947,33.208996424,668.294
478,0,108.468097112,33.208996424,869.677
479,0,108.635342277,33.208996424,1091.618
480,0,108.802587442,33.208996424,1097.142
481,0,108.969832607,33.208996424,923.837
482,0,109.137077773,33.208996424,1039.514
483,0,109.304322938,33.208996424,1514.841
484,0,109.471568103,33.208996424,1075.003
485,0,109.638813268,33.208996424,499.981
486,0,109.806058433,33.208996424,694.631
487,0,109.973303599,33.208996424,630.643
488,0,110.140548764,33.208996424,758.997
489,0,110.307793929,33.208996424,487.970
490,0,110.475039094,33.208996424,551.456
491,0,110.642284259,33.208996424,921.404
492,0,110.809529425,33.208996424,749.707
493,0,110.976774590,33.208996424,481.549
494,0,111.144019755,33.208996424,335.667
495,0,111.311264920,33.208996424,392.346
496,0,111.478510085,33.208996424,348.458
497,0,111.645755251,33.208996424,305.167
498,0,111.813000416,33.208996424,231.320
499,0,111.980245581,33.208996424,182.136
500,0,112.147490746,33.208996424,196.587
501,0,112.314735911,33.208996424,186.979
502,0,112.481981077,33.208996424,158.328
503,0,112.649226242,33.208996424,147.507
504,0,112.816471407,33.208996424,125.544
505,0,112.983716572,33.208996424,129.733
506,0,113.150961737,33.208996424,171.631
507,0,113.318206903,33.208996424,207.523
508,0,113.485452068,33.208996424,141.467
509,0,113.652697233,33.208996424,151.452
510,0,113.819942398,33.208996424,81.360
511,0,113.987187563,33.208996424,85.588
512,0,114.154432729,33.208996424,59.776
513,0,114.321677894,33.208996424,51.607
514,0,114.488923059,33.208996424,47.667
515,0,114.656168224,33.208996424,44.423
516,0,114.823413389,33.208996424,43.150
517,0,114.990658555,33.208996424,41.938
518,0,115.157903720,33.208996424,38.026
519,0,115.325148885,33.208996424,35.376
520,0,115.492394050,33.208996424,34.590
521,0,115.659639215,33.208996424,32.681
522,0,115.826884381,33.208996424,30.859
523,0,115.994129546,33.208996424,29.923
524,0,116.161374711,33.208996424,28.261
525,0,116.328619876,33.208996424,27.646
526,0,116.495865041,33.208996424,26.139
527,0,116.663110207,33.208996424,23.755
528,0,116.830355372,33.208996424,23.527
529,0,116.997600537,33.208996424,22.670
530,0,117.164845702,33.208996424,17.451
531,0,117.332090867,33.208996424,18.072
532,0,117.499336033,33.208996424,18.698
533,0,117.666581198,33.208996424,17.067
534,0,117.833826363,33.208996424,14.798
535,0,118.001071528,33.208996424,36.089
536,0,106.962890625,33.041751259,1121.377
537,0,107.130135790,33.041751259,1009.813
538,0,107.297380955,33.041751259,982.472
539,0,107.464626121,33.041751259,771.919
540,0,107.631871286,33.041751259,788.104
541,0,107.799116451,33.041751259,724.059
542,0,107.966361616,33.041751259,1039.053
543,0,108.133606781,33.041751259,935.939
544,0,108.300851947,33.041751259,786.801
545,0,108.468097112,33.041751259,798.268
546,0,108.635342277,33.041751259,725.399
547,0,108.802587442,33.041751259,675.787
548,0,108.969832607,33.041751259,779.579
549,0,109.137077773,33.041751259,708.029
550,0,109.304322938,33.041751259,479.077
551,0,109.471568103,33.041751259,638.049
552,0,109.638813268,33.041751259,561.303
553,0,109.806058433,33.041751259,601.868
554,0,109.973303599,33.041751259,564.090
555,0,110.140548764,33.041751259,649.021
556,0,110.307793929,33.041751259,497.067
557,0,110.475039094,33.041751259,484.535
558,0,110.642284259,33.041751259,483.914
559,0,110.809529425,33.041751259,371.995
560,0,110.976774590,33.041751259,499.753
561,0,111.144019755,33.041751259,567.659
562,0,111.311264920,33.041751259,374.812
563,0,111.478510085,33.041751259,257.782
564,0,111.645755251,33.041751259,251.314
565,0,111.813000416,33.041751259,190.891
566,0,111.980245581,33.041751259,140.839
567,0,112.147490746,33.041751259,138.396
568,0,112.314735911,33.041751259,129.149
569,0,112.481981077,33.041751259,119.650
570,0,112.649226242,33.041751259,114.210
571,0,112.816471407,33.041751259,111.537
572,0,112.983716572,33.041751259,116.447
573,0,113.150961737,33.041751259,143.846
574,0,113.318206903,33.041751259,174.604
575,0,113.485452068,33.041751259,141.035
576,0,113.652697233,33.041751259,157.639
577,0,113.819942398,33.041751259,121.118
578,0,113.987187563,33.041751259,98.600
579,0,114.154432729,33.041751259,72.900
580,0,114.321677894,33.041751259,58.961
581,0,114.488923059,33.041751259,49.731
582,0,114.656168224,33.041751259,45.765
583,0,114.823413389,33.041751259,43.523
584,0,114.990658555,33.041751259,41.777
585,0,115.157903720,33.041751259,39.954
586,0,115.325148885,33.041751259,37.624
587,0,115.492394050,33.041751259,34.967
588,0,115.659639215,33.041751259,32.203
589,0,115.826884381,33.041751259,29.705
590,0,115.994129546,33.041751259,28.039
591,0,116.161374711,33.041751259,27.356
592,0,116.328619876,33.041751259,26.954
593,0,116.495865041,33.041751259,25.513
