No.,名称,经度(度),纬度(度),高程(米)
215,0,113.959116880,37.342386749,583.547
216,0,114.609514479,37.342386749,130.471
217,0,115.259912078,37.342386749,38.567
218,0,115.910309676,37.342386749,32.840
219,0,116.560707275,37.342386749,63.055
220,0,117.211104874,37.342386749,158.205
221,0,117.861502473,37.342386749,102.017
222,0,118.511900072,37.342386749,96.155
223,0,119.162297671,37.342386749,31.221
224,0,119.812695270,37.342386749,65.987
225,0,120.463092869,37.342386749,87.152
226,0,121.113490468,37.342386749,81.198
227,0,121.763888067,37.342386749,27.581
228,0,122.414285666,37.342386749,0.200
229,0,101.601562500,36.691989151,3489.097
230,0,102.251960099,36.691989151,2897.812
231,0,102.902357698,36.691989151,2178.805
232,0,103.552755297,36.691989151,1976.545
233,0,104.203152896,36.691989151,2018.008
234,0,104.853550495,36.691989151,1982.731
235,0,105.503948094,36.691989151,1929.868
236,0,106.154345693,36.691989151,1857.775
237,0,106.804743291,36.691989151,1631.767
238,0,107.455140890,36.691989151,1339.271
239,0,108.105538489,36.691989151,1280.253
240,0,108.755936088,36.691989151,1408.402
241,0,109.406333687,36.691989151,1049.857
242,0,110.056731286,36.691989151,1213.645
243,0,110.707128885,36.691989151,1006.064
244,0,111.357526484,36.691989151,793.736
245,0,112.007924083,36.691989151,1065.993
246,0,112.658321682,36.691989151,1000.615
247,0,113.308719281,36.691989151,1057.802
248,0,113.959116880,36.691989151,597.905
249,0,114.609514479,36.691989151,95.279
250,0,115.259912078,36.691989151,49.699
251,0,115.910309676,36.691989151,43.084
252,0,116.560707275,36.691989151,125.772
253,0,117.211104874,36.691989151,382.593
254,0,117.861502473,36.691989151,298.680
255,0,118.511900072,36.691989151,258.886
256,0,119.162297671,36.691989151,126.732
257,0,119.812695270,36.691989151,38.766
258,0,120.463092869,36.691989151,103.140
259,0,121.113490468,36.691989151,138.200
260,0,101.601562500,36.041591552,3783.846
261,0,102.251960099,36.041591552,3251.977
262,0,102.902357698,36.041591552,3004.537
263,0,103.552755297,36.041591552,2351.312
264,0,104.203152896,36.041591552,2098.357
265,0,104.853550495,36.041591552,2018.102
266,0,105.503948094,36.041591552,1837.277
267,0,106.154345693,36.041591552,1735.467
268,0,106.804743291,36.041591552,1595.804
269,0,107.455140890,36.041591552,1220.955
270,0,108.105538489,36.041591552,1147.742
271,0,108.755936088,36.041591552,1400.071
272,0,109.406333687,36.041591552,961.756
273,0,110.056731286,36.041591552,1034.923
274,0,110.707128885,36.041591552,666.615
275,0,111.357526484,36.041591552,803.704
276,0,112.007924083,36.041591552,830.858
277,0,112.658321682,36.041591552,600.010
278,0,113.308719281,36.041591552,587.410
279,0,113.959116880,36.041591552,344.056
280,0,114.609514479,36.041591552,73.617
281,0,115.259912078,36.041591552,55.966
282,0,115.910309676,36.041591552,45.896
283,0,116.560707275,36.041591552,49.665
284,0,117.211104874,36.041591552,113.780
285,0,117.861502473,36.041591552,248.627
286,0,118.511900072,36.041591552,136.318
287,0,119.162297671,36.041591552,94.912
288,0,119.812695270,36.041591552,46.002
289,0,120.463092869,36.041591552,29.600
290,0,101.601562500,35.391193953,3812.879
291,0,102.251960099,35.391193953,3461.206
292,0,102.902357698,35.391193953,3383.086
293,0,103.552755297,35.391193953,2900.764
294,0,104.203152896,35.391193953,2535.124
295,0,104.853550495,35.391193953,2300.192
296,0,105.503948094,35.391193953,1775.686
297,0,106.154345693,35.391193953,1559.796
298,0,106.804743291,35.391193953,1514.158
299,0,107.455140890,35.391193953,1007.360
300,0,108.105538489,35.391193953,975.740
301,0,108.755936088,35.391193953,741.471
302,0,109.406333687,35.391193953,543.421
303,0,110.056731286,35.391193953,434.621
304,0,110.707128885,35.391193953,404.859
305,0,111.357526484,35.391193953,811.280
306,0,112.007924083,35.391193953,538.867
307,0,112.658321682,35.391193953,288.850
308,0,113.308719281,35.391193953,202.823
309,0,113.959116880,35.391193953,125.769
310,0,114.609514479,35.391193953,67.109
311,0,115.259912078,35.391193953,58.822
312,0,115.910309676,35.391193953,50.757
313,0,116.560707275,35.391193953,43.929
314,0,117.211104874,35.391193953,52.204
315,0,117.861502473,35.391193953,89.670
316,0,118.511900072,35.391193953,59.728
317,0,119.162297671,35.391193953,18.476
318,0,119.812695270,35.391193953,15.701
319,0,101.601562500,34.740796354,3952.161
320,0,102.251960099,34.740796354,3563.989
321,0,102.902357698,34.740796354,3455.759
322,0,103.552755297,34.740796354,2999.656
323,0,104.203152896,34.740796354,2367.358
324,0,104.853550495,34.740796354,1931.026
325,0,105.503948094,34.740796354,1701.136
326,0,106.154345693,34.740796354,1558.691
327,0,106.804743291,34.740796354,1528.937
328,0,107.455140890,34.740796354,1663.391
329,0,108.105538489,34.740796354,1585.756
330,0,108.755936088,34.740796354,717.012
331,0,109.406333687,34.740796354,846.508
